iter	Passed	Remaining
512	2509	3360
513	2514	3355
514	2518	3350
515	2523	3344
516	2528	3340
517	2533	3335
518	2537	3329
519	2542	3324
520	2546	3319
521	2551	3313
522	2556	3308
523	2561	3304
524	2566	3300
525	2571	3295
526	2577	3291
527	2581	3286
528	2586	3281
529	2592	3276
530	2597	3272
531	2602	3267
532	2606	3262
533	2611	3256
534	2615	3251
535	2620	3245
536	2624	3240
537	2629	3235
538	2634	3230
539	2638	3225
540	2643	3219
541	2648	3215
542	2653	3210
543	2657	3204
544	2662	3199
545	2667	3194
546	2671	3189
547	2676	3184
548	2680	3179
549	2685	3174
550	2690	3169
551	2695	3163
552	2699	3158
553	2704	3153
554	2709	3148
555	2713	3143
556	2718	3138
557	2723	3133
558	2727	3128
559	2732	3123
560	2737	3118
561	2742	3112
562	2746	3107
563	2751	3102
564	2755	3097
565	2760	3092
566	2765	3087
567	2769	3081
568	2774	3076
569	2779	3071
570	2784	3066
571	2788	3061
572	2793	3057
573	2799	3052
574	2804	3047
575	2808	3042
576	2813	3037
577	2818	3032
578	2822	3027
579	2827	3022
580	2832	3017
581	2836	3012
582	2841	3007
583	2846	3002
584	2850	2996
585	2855	2991
586	2861	2987
587	2867	2984
588	2872	2979
589	2877	2974
590	2881	2969
591	2886	2964
592	2892	2960
593	2898	2956
594	2903	2952
595	2908	2947
596	2914	2943
597	2919	2939
598	2925	2934
599	2930	2930
600	2936	2926
601	2940	2921
602	2945	2916
603	2950	2911
604	2955	2906
605	2959	2901
606	2964	2896
607	2969	2891
608	2974	2887
609	2979	2882
610	2984	2877
611	2990	2872
612	2995	2868
613	3000	2863
614	3005	2859
615	3011	2854
616	3016	2849
617	3020	2844
618	3025	2840
619	3030	2835
620	3035	2830
621	3040	2825
622	3045	2820
623	3050	2815
624	3055	2810
625	3060	2806
626	3065	2801
627	3072	2798
628	3077	2793
629	3082	2788
630	3086	2783
631	3091	2778
632	3096	2773
633	3101	2768
634	3105	2763
635	3111	2759
636	3116	2754
637	3121	2749
638	3126	2744
639	3131	2739
640	3136	2734
641	3141	2730
642	3146	2725
643	3150	2720
644	3155	2715
645	3160	2710
646	3165	2705
647	3170	2700
648	3174	2695
649	3180	2690
650	3184	2685
651	3189	2680
652	3195	2676
653	3200	2671
654	3205	2667
655	3210	2662
656	3215	2657
657	3220	2652
658	3225	2647
659	3230	2642
660	3234	2637
661	3240	2633
662	3244	2628
663	3249	2623
664	3251	2615
665	3256	2611
666	3258	2604
667	3263	2599
668	3268	2594
669	3273	2589
670	3278	2584
671	3282	2579
672	3287	2574
673	3292	2569
674	3296	2563
675	3301	2559
676	3306	2554
677	3310	2549
678	3315	2543
679	3320	2538
680	3324	2533
681	3329	2528
682	3333	2523
683	3338	2518
684	3342	2513
685	3347	2508
686	3352	2503
687	3356	2498
688	3361	2492
689	3365	2487
690	3370	2482
691	3374	2477
692	3379	2472
693	3384	2467
694	3389	2462
695	3393	2457
696	3398	2452
697	3402	2447
698	3407	2441
699	3411	2436
700	3415	2431
701	3420	2426
702	3425	2421
703	3430	2416
704	3435	2411
705	3440	2407
706	3444	2402
707	3450	2397
708	3455	2392
709	3460	2388
710	3464	2383
711	3469	2378
712	3474	2373
713	3478	2367
714	3483	2362
715	3488	2357
716	3493	2353
717	3497	2348
718	3502	2343
719	3507	2338
720	3512	2333
721	3516	2328
722	3521	2323
723	3526	2318
724	3531	2313
725	3536	2308
726	3541	2304
727	3546	2299
728	3550	2294
729	3555	2289
730	3560	2284
731	3565	2279
732	3569	2274
733	3574	2269
734	3578	2264
735	3583	2259
736	3588	2254
737	3593	2249
738	3598	2244
739	3603	2240
740	3608	2235
741	3613	2230
742	3618	2225
743	3623	2220
744	3628	2216
745	3633	2211
746	3638	2206
747	3642	2201
748	3647	2196
749	3652	2191
750	3656	2186
751	3661	2181
752	3666	2176
753	3671	2171
754	3676	2167
755	3681	2162
756	3686	2157
757	3690	2151
758	3694	2146
759	3699	2141
760	3704	2137
761	3709	2132
762	3713	2127
763	3718	2122
764	3723	2117
765	3727	2112
766	3732	2107
767	3737	2102
768	3741	2096
769	3746	2092
770	3750	2086
771	3755	2081
772	3760	2077
773	3764	2071
774	3769	2066
775	3774	2062
776	3778	2057
777	3783	2052
778	3787	2047
779	3792	2042
780	3796	2036
781	3801	2032
782	3807	2027
783	3812	2023
784	3818	2018
785	3823	2013
786	3827	2008
787	3833	2004
788	3838	1999
789	3843	1994
790	3848	1990
791	3854	1985
792	3859	1981
793	3865	1976
794	3870	1971
795	3875	1966
796	3879	1961
797	3884	1956
798	3889	1951
799	3894	1947
800	3899	1942
801	3904	1937
802	3908	1932
803	3913	1927
804	3917	1922
805	3922	1917
806	3927	1912
807	3931	1907
808	3936	1902
809	3940	1897
810	3945	1892
811	3950	1887
812	3954	1882
813	3959	1877
814	3963	1872
815	3968	1867
816	3972	1862
817	3977	1857
818	3982	1852
819	3987	1847
820	3992	1842
821	3996	1837
822	4001	1832
823	4005	1827
824	4010	1822
825	4015	1817
826	4019	1812
827	4024	1808
828	4029	1803
829	4034	1798
830	4039	1793
831	4042	1788
832	4047	1783
833	4052	1778
834	4057	1773
835	4062	1768
836	4067	1763
837	4072	1759
838	4076	1754
839	4081	1749
840	4088	1745
841	4092	1740
842	4097	1735
843	4101	1730
844	4106	1725
845	4111	1720
846	4115	1715
847	4120	1710
848	4125	1705
849	4129	1700
850	4134	1695
851	4139	1690
852	4144	1685
853	4148	1680
854	4153	1675
855	4157	1670
856	4162	1665
857	4167	1660
858	4171	1655
859	4176	1650
860	4181	1646
861	4185	1641
862	4190	1636
863	4194	1631
864	4199	1626
865	4204	1621
866	4208	1616
867	4213	1611
868	4217	1606
869	4222	1601
870	4226	1596
871	4231	1591
872	4235	1586
873	4240	1581
874	4245	1576
875	4250	1571
876	4255	1567
877	4259	1562
878	4264	1557
879	4269	1552
880	4274	1547
881	4278	1542
882	4284	1538
883	4288	1533
884	4294	1528
885	4299	1523
886	4304	1518
887	4309	1514
888	4313	1509
889	4318	1504
890	4323	1499
891	4328	1494
892	4334	1490
893	4339	1485
894	4344	1480
895	4348	1475
896	4353	1470
897	4358	1465
898	4363	1461
899	4368	1456
900	4373	1451
901	4378	1446
902	4383	1441
903	4388	1436
904	4394	1432
905	4399	1427
906	4403	1422
907	4409	1417
908	4413	1412
909	4418	1408
910	4423	1403
911	4428	1398
912	4433	1393
913	4438	1388
914	4443	1384
915	4448	1379
916	4453	1374
917	4458	1369
918	4463	1364
919	4468	1359
920	4473	1355
921	4477	1350
922	4482	1345
923	4487	1340
924	4493	1335
925	4498	1331
926	4503	1326
927	4508	1321
928	4513	1316
929	4517	1311
930	4523	1306
931	4527	1302
932	4533	1297
933	4538	1292
934	4545	1288
935	4550	1283
936	4555	1278
937	4560	1273
938	4565	1268
939	4569	1264
940	4574	1259
941	4580	1254
942	4584	1249
943	4589	1244
944	4594	1239
945	4599	1234
946	4603	1229
947	4608	1224
948	4613	1220
949	4617	1215
950	4622	1210
951	4627	1205
952	4632	1200
953	4637	1195
954	4638	1190
955	4643	1185
956	4648	1180
957	4652	1175
958	4657	1170
959	4662	1165
960	4667	1160
961	4672	1155
962	4678	1151
963	4683	1146
964	4688	1141
965	4693	1136
966	4697	1131
967	4702	1127
968	4707	1122
969	4712	1117
970	4717	1112
971	4721	1107
972	4726	1102
973	4731	1097
974	4736	1092
975	4741	1088
976	4745	1083
977	4751	1078
978	4756	1073
979	4761	1068
980	4767	1064
981	4773	1059
982	4778	1054
983	4783	1050
984	4789	1045
985	4795	1040
986	4800	1035
987	4805	1031
988	4810	1026
989	4815	1021
990	4820	1016
991	4825	1011
992	4829	1006
993	4834	1001
994	4838	996
995	4843	992
996	4848	987
997	4853	982
998	4858	977
999	4862	972
1000	4867	967
1001	4872	962
1002	4876	957
1003	4882	953
1004	4887	948
1005	4892	943
1006	4897	938
1007	4902	933
1008	4907	928
1009	4912	924
1010	4917	919
1011	4922	914
1012	4927	909
1013	4931	904
1014	4936	899
1015	4941	894
1016	4945	889
1017	4950	885
1018	4955	880
1019	4960	875
1020	4964	870
1021	4969	865
1022	4974	860
1023	4978	855
1024	4983	850
1025	4988	845
1026	4993	841
1027	4997	836
1028	5002	831
1029	5006	826
1030	5011	821
1031	5016	816
1032	5021	811
1033	5026	806
1034	5030	801
1035	5035	797
1036	5039	792
1037	5044	787
1038	5049	782
1039	5054	777
1040	5058	772
1041	5063	767
1042	5068	762
1043	5073	758
1044	5078	753
1045	5082	748
1046	5087	743
1047	5091	738
1048	5096	733
1049	5101	728
1050	5106	723
1051	5111	719
1052	5116	714
1053	5121	709
1054	5126	704
1055	5131	699
1056	5136	694
1057	5141	690
1058	5146	685
1059	5151	680
1060	5155	675
1061	5160	670
1062	5165	665
1063	5170	660
1064	5174	655
1065	5179	651
1066	5183	646
1067	5188	641
1068	5192	636
1069	5197	631
1070	5202	626
1071	5207	621
1072	5211	616
1073	5216	612
1074	5221	607
1075	5226	602
1076	5230	597
1077	5235	592
1078	5240	587
1079	5244	582
1080	5249	577
1081	5254	573
1082	5258	568
1083	5263	563
1084	5268	558
1085	5273	553
1086	5278	548
1087	5282	543
1088	5286	538
1089	5291	533
1090	5296	529
1091	5300	524
1092	5305	519
1093	5309	514
1094	5314	509
1095	5319	504
1096	5324	499
1097	5329	495
1098	5334	490
1099	5338	485
1100	5343	480
1101	5348	475
1102	5353	470
1103	5358	465
1104	5363	461
1105	5368	456
1106	5372	451
1107	5377	446
1108	5382	441
1109	5386	436
1110	5391	431
1111	5396	427
1112	5400	422
1113	5405	417
1114	5409	412
1115	5414	407
1116	5419	402
1117	5423	397
1118	5428	392
1119	5432	388
1120	5437	383
1121	5442	378
1122	5446	373
1123	5451	368
1124	5456	363
1125	5461	358
1126	5465	354
1127	5470	349
1128	5475	344
1129	5479	339
1130	5484	334
1131	5489	329
1132	5494	324
1133	5499	320
1134	5503	315
1135	5508	310
1136	5513	305
1137	5517	300
1138	5522	295
1139	5527	290
1140	5531	286
1141	5536	281
1142	5541	276
1143	5545	271
1144	5550	266
1145	5555	261
1146	5559	256
1147	5564	252
1148	5568	247
1149	5573	242
1150	5577	237
1151	5583	232
1152	5588	227
1153	5593	222
1154	5597	218
1155	5602	213
1156	5608	208
1157	5612	203
1158	5617	198
1159	5622	193
1160	5627	189
1161	5632	184
1162	5636	179
1163	5641	174
1164	5646	169
1165	5650	164
1166	5655	159
1167	5659	155
1168	5664	150
1169	5668	145
1170	5673	140
1171	5678	135
1172	5683	130
1173	5688	125
1174	5693	121
1175	5698	116
1176	5702	111
1177	5707	106
1178	5711	101
1179	5716	96
1180	5721	92
1181	5726	87
1182	5731	82
1183	5736	77
1184	5742	72
1185	5748	67
1186	5754	63
1187	5760	58
1188	5765	53
1189	5770	48
1190	5776	43
1191	5782	38
1192	5788	33
1193	5793	29
1194	5798	24
1195	5804	19
1196	5809	14
1197	5813	9
1198	5819	4
1199	5824	0
