test_season,val_season,n_train_seasons,train_seasons,metrics_path,test_predictions_path,val_predictions_path,val_n_samples,val_r2,val_mae_eur,val_mape,val_mape_raw,val_mape_min_denom_eur,val_wmape,test_n_samples,test_r2,test_mae_eur,test_mape,test_mape_raw,test_mape_min_denom_eur,test_wmape,test_under_5m_n_samples,test_under_5m_r2,test_under_5m_mape,test_under_5m_mape_raw,test_under_5m_wmape,test_5m_to_20m_n_samples,test_5m_to_20m_r2,test_5m_to_20m_mape,test_5m_to_20m_mape_raw,test_5m_to_20m_wmape,test_over_20m_n_samples,test_over_20m_r2,test_over_20m_mape,test_over_20m_mape_raw,test_over_20m_wmape,test_lowmid_weighted_wmape,test_segment_weighted_wmape
2022/23,2021/22,2,"2019/20,2020/21",data\model\backtests\rolling_2022-23.metrics.json,data\model\backtests\rolling_2022-23.csv,data\model\backtests\rolling_2022-23_val.csv,1952,0.7229975205878421,4457987.254391201,0.4258564147537542,0.45807511259155825,1000000.0,0.3661860818247727,3773,0.7389101112150478,3075289.217445558,0.45563234988134094,0.6174161902794431,1000000.0,0.401528040876591,2392,-0.5905452832514828,0.49254360968727395,0.7477319164690629,0.5795674496981282,942,-0.7620851498140961,0.40459788784395145,0.40459788784395145,0.39417675786277506,439,0.0478540499292045,0.36402125599393564,0.36402125599393564,0.3649407617092172,0.5271865163721227,0.5083087304465951
2023/24,2022/23,3,"2019/20,2020/21,2021/22",data\model\backtests\rolling_2023-24.metrics.json,data\model\backtests\rolling_2023-24.csv,data\model\backtests\rolling_2023-24_val.csv,3773,0.739159116013345,3029422.4779686877,0.4236719629072639,0.5503417512058535,1000000.0,0.3955394067217708,4347,0.7611356847592692,2783846.5379509754,0.42278488264211195,0.6233925081154352,1000000.0,0.3937309214960162,2874,-0.3918053975400817,0.43019928197417406,0.7336235505658706,0.5524583693085778,1006,-0.9350489250637726,0.441294918429236,0.441294918429236,0.42772541516722307,467,0.0857117432529022,0.3372815000249961,0.3372815000249961,0.3365884966001234,0.5201178147038863,0.5004011844866199
2024/25,2023/24,4,"2019/20,2020/21,2021/22,2022/23",data\model\backtests\rolling_2024-25.metrics.json,data\model\backtests\rolling_2024-25.csv,data\model\backtests\rolling_2024-25_val.csv,4347,0.7793725282625574,2674124.82327761,0.4024220216880423,0.757700779091525,1000000.0,0.3782125259100782,4659,0.7425127979750048,2831660.8114669607,0.4815089777332152,0.9039556753858423,1000000.0,0.4162589666030859,3204,-0.5554409399904792,0.52038417456341,1.1346723032661534,0.6244006043133238,942,-0.6779177404169312,0.4112564070087079,0.4112564070087079,0.40717008577414454,513,0.005122118827668776,0.36771129932881297,0.36771129932881297,0.37319633767871346,0.5750443215193279,0.5528189478961824
