2025-10-29 14:37:21 | INFO     | Trying direct fetch for #23 Arjan Malic (805534) -> https://www.transfermarkt.com/leistungsdatendetails/spieler/805534
2025-10-29 14:37:21 | INFO     | Trying direct fetch for #26 Belmin Beganovic (693092) -> https://www.transfermarkt.com/leistungsdatendetails/spieler/693092
2025-10-29 14:37:30 | INFO     | Trying direct fetch for #52 Christian Zawieschitzky (915421) -> https://www.transfermarkt.com/leistungsdaten/spieler/915421/saison/ges/
2025-10-29 14:37:30 | INFO     | Trying direct fetch for #23 Arjan Malic (805534) -> https://www.transfermarkt.com/leistungsdaten/spieler/805534/saison/ges/
2025-10-29 14:37:30 | INFO     | Trying direct fetch for #11 Axel Kayombo (922788) -> https://www.transfermarkt.com/leistungsdaten/spieler/922788/saison/ges/
2025-10-29 14:37:30 | INFO     | Trying direct fetch for #26 Belmin Beganovic (693092) -> https://www.transfermarkt.com/leistungsdaten/spieler/693092/saison/ges/
2025-10-29 14:37:39 | INFO     | Trying direct fetch for #23 Arjan Malic (805534) -> https://www.transfermarkt.de/detaillierte-leistungsdaten/spieler/805534
2025-10-29 14:37:39 | INFO     | Trying direct fetch for #52 Christian Zawieschitzky (915421) -> https://www.transfermarkt.de/detaillierte-leistungsdaten/spieler/915421
2025-10-29 14:37:39 | INFO     | Trying direct fetch for #11 Axel Kayombo (922788) -> https://www.transfermarkt.de/detaillierte-leistungsdaten/spieler/922788
2025-10-29 14:37:39 | INFO     | Trying direct fetch for #26 Belmin Beganovic (693092) -> https://www.transfermarkt.de/detaillierte-leistungsdaten/spieler/693092
2025-10-29 14:37:47 | INFO     | Trying direct fetch for #52 Christian Zawieschitzky (915421) -> https://www.transfermarkt.de/leistungsdatendetails/spieler/915421
2025-10-29 14:37:47 | INFO     | Trying direct fetch for #26 Belmin Beganovic (693092) -> https://www.transfermarkt.de/leistungsdatendetails/spieler/693092
2025-10-29 14:37:47 | INFO     | Trying direct fetch for #11 Axel Kayombo (922788) -> https://www.transfermarkt.de/leistungsdatendetails/spieler/922788
2025-10-29 14:37:47 | INFO     | Trying direct fetch for #23 Arjan Malic (805534) -> https://www.transfermarkt.de/leistungsdatendetails/spieler/805534
2025-10-29 14:37:56 | INFO     | Trying direct fetch for #23 Arjan Malic (805534) -> https://www.transfermarkt.de/leistungsdaten/spieler/805534/saison/ges/
2025-10-29 14:37:56 | INFO     | Trying direct fetch for #52 Christian Zawieschitzky (915421) -> https://www.transfermarkt.de/leistungsdaten/spieler/915421/saison/ges/
2025-10-29 14:37:56 | INFO     | Trying direct fetch for #11 Axel Kayombo (922788) -> https://www.transfermarkt.de/leistungsdaten/spieler/922788/saison/ges/
2025-10-29 14:37:56 | INFO     | Trying direct fetch for #26 Belmin Beganovic (693092) -> https://www.transfermarkt.de/leistungsdaten/spieler/693092/saison/ges/
2025-10-29 14:38:05 | WARNING  | No valid stats for #11 Axel Kayombo (922788)
2025-10-29 14:38:05 | INFO     | Trying direct fetch for #7 Clement Bischoff (953893) -> https://www.transfermarkt.com/detaillierte-leistungsdaten/spieler/953893
2025-10-29 14:38:05 | WARNING  | No valid stats for #52 Christian Zawieschitzky (915421)
2025-10-29 14:38:05 | INFO     | Trying direct fetch for #53 Daniil Khudyakov (718756) -> https://www.transfermarkt.com/detaillierte-leistungsdaten/spieler/718756
2025-10-29 14:38:05 | WARNING  | No valid stats for #26 Belmin Beganovic (693092)
2025-10-29 14:38:05 | INFO     | Trying direct fetch for #24 Dimitri Lavalée (420890) -> https://www.transfermarkt.com/detaillierte-leistungsdaten/spieler/420890
2025-10-29 14:38:14 | INFO     | Trying direct fetch for #53 Daniil Khudyakov (718756) -> https://www.transfermarkt.com/leistungsdatendetails/spieler/718756
2025-10-29 14:38:14 | INFO     | Trying direct fetch for #24 Dimitri Lavalée (420890) -> https://www.transfermarkt.com/leistungsdatendetails/spieler/420890
2025-10-29 14:38:14 | INFO     | Trying direct fetch for #7 Clement Bischoff (953893) -> https://www.transfermarkt.com/leistungsdatendetails/spieler/953893
2025-10-29 14:38:18 | WARNING  | Retry 1/3 for https://www.transfermarkt.de/leistungsdaten/spieler/805534/saison/ges/: HTTPSConnectionPool(host='www.transfermarkt.de', port=443): Read timed out. (read timeout=20)
2025-10-29 14:38:22 | INFO     | Trying direct fetch for #24 Dimitri Lavalée (420890) -> https://www.transfermarkt.com/leistungsdaten/spieler/420890/saison/ges/
2025-10-29 14:38:22 | INFO     | Trying direct fetch for #53 Daniil Khudyakov (718756) -> https://www.transfermarkt.com/leistungsdaten/spieler/718756/saison/ges/
2025-10-29 14:38:22 | INFO     | Trying direct fetch for #7 Clement Bischoff (953893) -> https://www.transfermarkt.com/leistungsdaten/spieler/953893/saison/ges/
2025-10-29 14:38:25 | WARNING  | No valid stats for #23 Arjan Malic (805534)
2025-10-29 14:38:25 | INFO     | Trying direct fetch for #20 Edmund Baidoo (1236853) -> https://www.transfermarkt.com/detaillierte-leistungsdaten/spieler/1236853
2025-10-29 14:38:31 | INFO     | Trying direct fetch for #24 Dimitri Lavalée (420890) -> https://www.transfermarkt.de/detaillierte-leistungsdaten/spieler/420890
2025-10-29 14:38:31 | INFO     | Trying direct fetch for #7 Clement Bischoff (953893) -> https://www.transfermarkt.de/detaillierte-leistungsdaten/spieler/953893
2025-10-29 14:38:31 | INFO     | Trying direct fetch for #53 Daniil Khudyakov (718756) -> https://www.transfermarkt.de/detaillierte-leistungsdaten/spieler/718756
